iter	Passed	Remaining
0	134	134705
1	137	68394
2	139	46211
3	141	35245
4	144	28801
5	147	24422
6	149	21267
7	152	18928
8	155	17091
9	158	15645
10	162	14607
11	165	13646
12	168	12790
13	170	11975
14	171	11282
15	173	10684
16	175	10174
17	178	9743
18	180	9328
19	182	8928
20	184	8584
21	185	8248
22	187	7977
23	190	7742
24	193	7536
25	196	7343
26	198	7143
27	199	6934
28	201	6743
29	202	6558
30	203	6364
31	205	6205
32	207	6093
33	210	5986
34	212	5858
35	213	5712
36	214	5574
37	215	5444
38	215	5315
39	216	5203
40	218	5108
41	220	5024
42	222	4957
43	224	4880
44	226	4808
45	228	4744
46	230	4666
47	231	4593
48	233	4525
49	234	4455
50	236	4400
51	237	4333
52	238	4265
53	240	4209
54	241	4155
55	243	4096
56	244	4042
57	245	3985
58	246	3929
59	247	3875
60	248	3831
61	250	3792
62	252	3751
63	253	3704
64	254	3665
65	256	3626
66	257	3583
67	258	3541
68	259	3498
69	260	3456
70	261	3415
71	261	3375
72	263	3343
73	264	3312
74	266	3283
75	267	3250
76	268	3217
77	269	3186
78	270	3156
79	271	3123
80	272	3091
81	273	3059
82	273	3024
83	274	2993
84	275	2967
85	276	2938
86	277	2910
87	278	2890
88	279	2864
89	280	2841
90	282	2819
91	283	2796
92	284	2773
93	285	2748
94	285	2723
95	286	2699
96	287	2674
97	288	2652
98	288	2629
99	289	2609
100	290	2586
101	291	2565
102	292	2544
103	292	2523
104	294	2508
105	295	2492
106	296	2477
107	297	2460
108	298	2441
109	299	2425
110	300	2409
111	301	2391
112	302	2377
113	303	2359
114	304	2342
115	305	2324
116	305	2306
117	306	2290
118	307	2273
119	307	2257
120	309	2245
121	310	2231
122	311	2219
123	312	2207
124	313	2193
125	314	2180
126	315	2167
127	316	2155
128	317	2143
129	318	2130
130	319	2116
131	319	2102
132	320	2089
133	321	2077
134	322	2065
135	323	2052
136	324	2044
137	325	2034
138	326	2024
139	328	2015
140	329	2005
141	329	1993
142	330	1983
143	331	1971
144	332	1960
145	333	1949
146	333	1937
147	334	1927
148	335	1916
149	336	1907
150	337	1895
151	338	1885
152	339	1879
153	340	1871
154	342	1864
155	343	1857
156	344	1849
157	345	1841
158	346	1833
159	347	1824
160	348	1814
161	349	1805
162	349	1796
163	350	1787
164	351	1778
165	352	1769
166	352	1760
167	354	1754
168	355	1748
169	356	1742
170	358	1735
171	358	1728
172	359	1720
173	361	1713
174	361	1705
175	362	1697
176	363	1689
177	364	1681
178	364	1673
179	365	1665
180	366	1657
181	366	1648
182	367	1641
183	369	1636
184	370	1630
185	371	1624
186	372	1620
187	373	1614
188	374	1608
189	376	1603
190	376	1596
191	377	1589
192	378	1582
193	379	1575
194	380	1568
195	381	1562
196	381	1556
197	382	1550
198	383	1545
199	385	1541
200	386	1536
201	387	1531
202	388	1526
203	389	1520
204	390	1515
205	391	1509
206	392	1502
207	393	1496
208	393	1490
209	394	1484
210	395	1479
211	396	1473
212	397	1467
213	397	1461
214	398	1456
215	400	1453
216	401	1449
217	402	1444
218	403	1439
219	404	1434
220	405	1430
221	406	1424
222	407	1419
223	408	1413
224	408	1408
225	409	1402
226	410	1397
227	411	1392
228	411	1387
229	412	1382
230	414	1380
231	416	1377
232	417	1374
233	418	1370
234	419	1365
235	420	1361
236	421	1357
237	422	1353
238	423	1348
239	424	1342
240	424	1338
241	425	1333
242	426	1328
243	427	1323
244	428	1319
245	429	1317
246	431	1314
247	432	1312
248	434	1309
249	436	1309
250	437	1306
251	438	1302
252	440	1299
253	441	1296
254	443	1294
255	446	1296
256	447	1294
257	449	1292
258	450	1289
259	452	1288
260	454	1285
261	455	1282
